,x
1,4.312312126
2,4.251461029
3,4.319360733
4,4.255993843
5,4.335780144
6,4.250974178
7,4.317971706
8,4.469087601
9,4.519369125
10,4.46247673
11,4.443098545
12,4.456180096
13,4.636832714
14,4.651289463
15,4.568230152
16,4.573082447
17,4.614202976
18,4.62823534
19,4.797837257
20,4.804349422
21,4.808680534
22,4.849862576
23,4.81491518
24,4.757920742
25,5.058888435
26,5.031605244
27,5.061641693
28,4.911421776
29,5.087547302
30,4.969776154
31,4.984662056
32,5.042351246
33,5.059578896
34,5.004149914
35,5.197064877
36,5.058651924
37,5.251409054
38,5.350929737
39,5.307490826
40,5.238846302
41,5.270201206
42,5.35363102
43,5.226622105
44,5.414753914
45,5.243947506
46,5.441032887
47,5.370057583
48,5.340664864
49,5.351947308
50,5.409353733
51,5.283849716
52,5.352686882
53,5.418460369
54,5.583842754
55,5.448409081
56,5.51247263
57,5.373007774
58,5.390508175
59,5.508695126
60,5.569727421
61,5.402294636
62,5.708090782
63,5.533549309
64,5.514202118
65,5.455525875
66,5.508584499
67,5.6235919
68,5.544686317
69,5.628372669
70,5.632436752
71,5.70265007
72,5.784588814
73,5.618041515
74,5.733399868
75,5.754383087
76,5.691726208
77,5.638540268
78,5.812162399
79,5.779373169
80,5.785982132
81,5.838240623
82,5.621510983
83,5.96187973
84,5.668176174
85,5.724789143
86,5.720324516
87,5.71099329
88,6.040157318
89,5.710665226
90,5.872988224
91,5.819978714
92,5.855441093
93,5.911705494
94,5.761838436
95,5.872547626
96,5.827786922
97,5.969697475
98,5.966419697
99,5.9861269
100,6.288449764
101,5.928595543
102,6.021992683
103,6.045102596
104,5.888306618
105,6.11153841
106,6.189203739
107,6.258015156
108,6.095134258
109,6.132426262
110,6.067692757
111,6.249159336
112,6.181043625
113,6.038216114
114,6.231277943
115,6.177277565
116,6.222710609
117,6.223404408
118,6.28147316
119,6.38437748
120,6.514748096
121,6.585171223
122,6.428285122
123,6.504202366
124,6.864233017
125,6.6359272
126,6.639007568
127,6.725102425
128,6.48382473
129,6.831800461
130,6.799140453
131,6.720624924
132,6.703219414
133,6.77568531
134,6.716640949
135,6.74981451
136,6.778476238
137,6.893149376
138,6.882964611
139,6.814592838
140,6.743960381
141,7.063639164
142,7.186732769
143,7.071329117
144,6.943888664
145,7.047502995
