,x
1,7.396796703
2,8.594041824
3,7.27142477
4,7.819420815
5,7.618472576
6,7.626630783
7,7.298408508
8,8.259476662
9,8.243985176
10,7.981046677
11,7.81895113
12,8.860212326
13,8.203757286
14,9.534731865
15,8.175920486
16,8.272422791
17,8.349092484
18,8.122976303
19,7.764203548
20,9.001169205
21,8.427952766
22,8.593238831
23,9.206494331
24,8.397165298
25,8.813264847
26,9.262843132
27,9.606343269
28,8.86878109
29,8.54600811
30,9.344239235
31,9.593688011
32,8.580716133
33,10.05478764
34,9.071702957
35,10.16534424
36,9.598405838
37,10.02487659
38,9.778582573
39,9.534363747
40,10.16908169
41,9.456582069
42,10.52141094
43,9.380531311
44,10.25498676
45,9.951937675
46,10.01151943
47,10.71075344
48,10.20417786
49,10.50161076
50,10.54180717
51,10.15830326
52,11.00559616
53,10.67988205
54,10.85154629
55,10.10978794
56,10.17378139
57,10.8017807
58,11.41829395
59,10.98566246
60,10.95123291
61,10.52097511
62,10.59367561
63,11.02295971
64,10.14768696
65,10.4542408
66,10.45078373
67,10.80774307
68,11.0291729
69,10.95890999
70,11.13348389
71,10.79517746
72,10.56713009
73,10.64111137
74,11.1245594
75,11.04620552
76,11.78162956
77,10.57144356
78,10.67186451
79,11.11282253
80,11.32436085
81,11.42420483
82,11.3724966
83,11.06090164
84,11.52385139
85,11.28735065
86,11.06935215
87,11.60398293
88,11.52206516
89,11.73842144
90,11.23205376
91,10.62377739
92,11.413867
93,11.6094389
94,11.83459377
95,10.78955364
96,12.17694759
97,10.98099136
98,10.95076275
99,11.53490925
100,11.74943161
101,11.02128124
102,11.19063663
103,10.47658348
104,11.01413155
105,11.87141132
106,12.67996311
107,11.68215847
108,11.30058765
109,11.61382198
110,12.77746964
111,12.80572701
112,11.34854698
113,11.48049927
114,11.44972706
115,11.18144989
116,11.21308708
117,11.77851009
118,12.85683537
119,11.89621639
120,11.59245491
121,12.5922842
122,12.78248978
123,12.42216396
124,13.29498672
125,12.32111454
126,12.71605396
127,12.45589924
128,13.20631218
129,13.3506279
130,13.40761089
131,12.86344051
132,13.92292309
133,12.94096851
134,14.49001408
135,13.4171381
136,14.69644165
137,13.52819252
138,13.39056206
139,13.43752193
140,12.74335194
141,13.2552433
142,14.05568981
143,13.61434269
144,14.18205261
145,14.58951664
146,13.87846279
147,13.36313915
148,14.59708977
149,13.24246979
150,13.13755035
151,13.61489391
152,13.62365627
153,13.31432247
154,14.37792873
155,14.72191715
156,14.01600933
157,14.3751297
158,14.86337185
159,14.40362358
160,14.22320843
161,14.92087078
162,13.12309361
163,14.17871952
164,13.4377327
165,15.3708992
166,13.66315937
167,13.98829269
168,13.8878336
169,14.22228622
170,14.85188007
171,14.42714405
172,13.83685875
173,14.65459728
174,13.41430187
175,15.41780567
176,13.60030937
177,14.78941917
178,14.42045403
179,14.4467535
180,14.55425644
181,14.79728317
182,14.62545586
183,15.11734009
184,14.42336941
185,14.19635296
186,14.62059021
187,14.10969067
188,15.20008755
189,14.59841919
190,14.38974667
191,14.90701771
192,14.09274864
193,14.82065392
194,14.3503952
195,15.51651573
196,14.27829838
197,15.26398468
198,13.26344967
199,13.47563267
200,14.89868355
201,14.24690723
202,15.20775509
203,14.23861599
204,14.6314888
205,15.40870094
206,14.3578825
207,14.85819244
208,14.73213863
209,13.42380047
210,13.81575775
211,14.24132156
212,14.47680092
213,14.91051674
214,14.3917284
215,15.75505066
216,14.66295242
217,15.98032379
218,15.1829958
219,14.29192066
220,15.84139061
221,15.74238491
222,15.57325935
223,14.67983723
224,15.16152668
225,15.21414852
226,15.10703945
227,15.31955338
228,15.60990715
229,15.56668186
230,16.52389145
231,15.04120636
232,15.2835083
233,15.55256176
234,17.79741669
235,15.88138008
236,16.77659225
237,16.93659973
238,17.70573425
239,15.88117027
240,17.19198608
241,17.41939354
242,17.17089462
243,16.98442459
244,16.66090584
245,16.57760429
246,16.8121376
247,16.11712646
248,17.21400261
249,17.58713913
250,18.82302094
251,16.79712677
252,16.61553383
253,17.37277794
254,17.66443825
255,16.92180824
256,16.31632996
257,17.62710762
258,17.47716904
259,17.65554237
260,17.38572121
261,18.47898293
262,18.12764168
263,16.56414223
264,17.27215385
265,17.61174393
266,19.32426643
267,19.1999321
268,17.3735466
269,19.10503578
270,18.99584198
271,18.42555428
272,17.97277641
273,18.54439163
274,18.93117523
275,18.14798927
276,18.56057167
277,18.63483238
278,18.54266548
279,17.55167961
280,18.50908661
281,17.26516342
282,18.39847183
283,19.15071869
284,20.21883202
285,18.60127258
286,17.75796127
287,17.8757534
288,21.55661392
289,20.40570641
290,19.67437363
291,19.10063362
292,18.77841187
293,19.2006855
294,19.39103508
295,19.998209
