,x
1,4.9770751
2,4.932271004
3,5.192025661
4,4.855008125
5,5.089535713
6,5.099290371
7,5.048368931
8,5.183525085
9,5.285382748
10,5.50816679
11,5.246767044
12,4.981129646
13,5.380414963
14,5.380071163
15,5.530687809
16,5.522474766
17,5.389931202
18,5.55630064
19,5.632339001
20,5.60997057
21,5.690559864
22,5.64675045
23,5.657211304
24,5.659304619
25,5.928662777
26,5.932104588
27,5.804031372
28,5.965295792
29,5.988600731
30,5.773424149
31,6.132113934
32,5.780639172
33,6.246833801
34,6.070410728
35,5.802267075
36,6.146661758
37,6.139357567
38,6.468634129
39,6.419767857
40,6.614775181
41,6.616997242
42,6.277724266
43,6.683805466
44,6.372563839
45,6.431322575
46,6.283551216
47,6.885924339
48,6.535808086
49,6.183719635
50,6.662680626
51,6.650061607
52,6.774713039
53,6.831597328
54,6.524075031
55,6.837838173
56,6.610320568
57,6.802576542
58,6.998001575
59,6.572520256
60,6.813482285
61,7.113261223
62,7.03151083
63,7.266660213
64,6.968720436
65,6.940879822
66,6.978242874
67,6.99773407
68,7.237487316
69,7.018901825
70,7.419375896
71,7.077953339
72,7.313081264
73,7.290917397
74,7.079738617
75,7.561745644
76,7.716668129
77,7.431074142
78,7.34970808
79,7.150678635
80,7.623342037
81,7.3192873
82,7.343738079
83,7.237511158
84,7.465380192
85,7.512958527
86,7.223289013
87,7.547615051
88,7.760113716
89,7.712853909
90,7.619540215
91,7.421687603
92,7.789240837
93,7.385659218
94,7.66949892
95,7.677237034
96,7.7918396
97,8.266592026
98,7.681492329
99,7.99787426
100,8.050214767
101,7.850476265
102,8.180212021
103,7.739089012
104,8.453848839
105,7.885091782
106,8.043978691
107,8.294113159
108,8.145043373
109,8.333712578
110,8.669665337
111,8.281389236
112,8.211797714
113,8.152328491
114,8.387189865
115,8.345297813
116,7.994643211
117,8.414298058
118,8.530088425
119,8.508584023
120,8.129864693
121,8.454327583
122,9.085594177
123,8.622469902
124,8.758504868
125,9.405788422
126,9.265687943
127,8.510082245
128,8.524978638
129,9.106264114
130,8.924417496
131,8.598635674
132,8.88389492
133,9.013786316
134,9.175073624
135,9.163544655
136,9.301654816
137,9.492116928
138,9.243689537
139,9.148529053
140,9.285484314
141,9.622197151
142,9.040164948
143,9.742728233
144,8.923985481
145,9.593022346
146,9.111453056
147,9.493741035
148,9.667750359
149,9.475725174
150,9.181451797
151,9.126582146
152,9.42243576
153,9.408063889
154,9.384268761
155,9.489131927
156,9.639054298
157,10.12065125
158,9.389719009
159,10.15617371
160,9.521805763
161,9.441698074
162,9.663024902
163,9.023398399
164,9.712299347
165,9.728790759
166,9.361241341
167,9.268967628
168,10.57426071
169,9.758239746
170,9.710727692
171,10.52085209
172,9.475272179
173,10.26260853
174,10.05805969
175,9.642370224
176,9.909767151
177,9.792103767
178,10.16173458
179,10.64637852
180,10.83290291
181,11.11379433
182,10.56691837
183,10.34220123
184,9.946063042
185,10.27221012
186,10.37590122
187,10.96197605
188,10.1852932
189,9.889177322
190,10.12385845
191,9.943436623
192,10.41511631
193,10.14694786
194,10.29324055
195,11.07550526
196,9.876110077
197,10.85368156
198,10.20855713
199,10.3509016
200,10.3026762
201,10.88029194
202,10.69848061
203,10.82162189
204,10.50895977
205,11.31326771
206,10.35197067
207,10.36222744
208,10.76104069
209,11.15173149
210,10.38521862
211,10.8347187
212,10.84202576
213,11.38941574
214,10.74736214
215,10.93529987
216,10.88651085
217,10.64557457
218,11.34565449
