"Variables ->","employment_rate_any_industry","employment_rate_ed_any_ind","employment_rate_noed_any_ind","employment_rate_1","employment_rate_1_ed","employment_rate_1_noed","employment_rate_2","employment_rate_2_ed","employment_rate_2_noed","employment_rate_3","employment_rate_3_ed","employment_rate_3_noed","employment_rate_4","employment_rate_4_ed","employment_rate_4_noed","employment_rate_5","employment_rate_5_ed","employment_rate_5_noed","employment_rate_6","employment_rate_6_ed","employment_rate_6_noed","share_employed_industy_1","share_employed_industy_1_ed","share_employed_industy_1_noed","share_employed_industy_2","share_employed_industy_2_ed","share_employed_industy_2_noed","share_employed_industy_3","share_employed_industy_3_ed","share_employed_industy_3_noed","share_employed_industy_4","share_employed_industy_4_ed","share_employed_industy_4_noed","share_employed_industy_5","share_employed_industy_5_ed","share_employed_industy_5_noed","share_employed_industy_6","share_employed_industy_6_ed","share_employed_industy_6_noed","hrlwage_ed_any_industry","hrlwage_ed_industry_1","hrlwage_ed_industry_2","hrlwage_ed_industry_3","hrlwage_ed_industry_4","hrlwage_ed_industry_5","hrlwage_ed_industry_6","hrlwage_noed_any_industry","hrlwage_noed_industry_1","hrlwage_noed_industry_2","hrlwage_noed_industry_3","hrlwage_noed_industry_4","hrlwage_noed_industry_5","hrlwage_noed_industry_6","uhat_education_unskilled","uhat_education_skilled","employment_ratio","employment_ratio_industry_1","employment_ratio_industry_2","employment_ratio_industry_3","employment_ratio_industry_4","employment_ratio_industry_5","employment_ratio_industry_6","hrlwage_ed_industry_1_old","hrlwage_ed_industry_2_old","hrlwage_ed_industry_3_old","hrlwage_ed_industry_5_old","hrlwage_ed_industry_6_old","hrlwage_noed_industry_1_old","hrlwage_noed_industry_2_old","hrlwage_noed_industry_3_old","hrlwage_noed_industry_4_old","hrlwage_noed_industry_5_old","hrlwage_noed_industry_6_old"
"1979M11",0.95258480,0.97051841,0.94018608,0.94612312,0.96810889,0.93762064,0.97209877,0.97711366,0.96385330,0.94387358,0.96911132,0.93276829,0.93802178,0.96089500,0.92561370,0.94535929,0.95452720,0.93039906,0.97319555,0.98464793,0.96438050,0.26140147,0.17911199,0.32012954,0.20907162,0.31377444,0.13434771,0.10106522,0.07613736,0.11885564,0.24368979,0.21080808,0.26715669,0.05581528,0.08390488,0.03576839,0.12895662,0.13626325,0.12374203,7.27728796,8.83954334,6.75842190,7.81895113,5.83381319,7.95051718,7.81651068,5.32588339,6.07544613,4.50183678,6.35859966,4.44309855,5.42651939,5.24676704,-0.50937384,-0.69714516,0.71367633,0.39930081,1.66681957,0.45717171,0.56314796,1.67412961,0.78589195,8.83954334,6.75842190,7.81895113,7.95051718,7.81651068,6.07544613,4.50183678,6.35859966,4.44309855,5.42651939,5.24676704
"1979M12",0.95515639,0.97324640,0.94235480,0.94666344,0.96582097,0.93865126,0.97063935,0.98309499,0.94871575,0.95765918,0.96698987,0.95376325,0.94277871,0.96016949,0.93413943,0.95848036,0.98278260,0.92413092,0.96885055,0.97679567,0.96181220,0.25682858,0.18299514,0.31079021,0.21362330,0.32676119,0.13093579,0.09844945,0.06934549,0.11972027,0.25030559,0.20037258,0.28679946,0.05905601,0.08398592,0.04083584,0.12173706,0.13653970,0.11091845,7.29365921,8.76251316,6.74124098,8.86021233,5.86474705,8.15906429,7.47918415,5.27244902,6.07915640,4.48793602,6.49882650,4.45618010,5.07409954,4.98112965,-0.51867014,-0.69563335,0.73085624,0.43033254,1.82391286,0.42333335,0.51061308,1.50313127,0.89967793,8.76251316,6.74124098,8.86021233,8.15906429,7.47918415,6.07915640,4.48793602,6.49882650,4.45618010,5.07409954,4.98112965
"1980M01",0.94034904,0.96160513,0.92542213,0.92168206,0.94276887,0.91306049,0.96441710,0.97204638,0.95160443,0.92888534,0.95066828,0.91909862,0.92827493,0.95613438,0.91437608,0.95332390,0.96355933,0.93764180,0.96613872,0.97523212,0.95855993,0.25413728,0.17882405,0.30909321,0.21337140,0.31952405,0.13591202,0.09248758,0.06955758,0.10921957,0.25104412,0.20401223,0.28536320,0.06230038,0.09031639,0.04185716,0.12665923,0.13776571,0.11855486,7.42568636,8.86401081,6.81375647,8.20375729,6.07175875,8.50754929,7.87367487,5.42969704,6.18968868,4.44384098,6.78484583,4.63683271,5.44731474,5.38041496,-0.49941567,-0.67888945,0.72969800,0.42216247,1.71549273,0.46471548,0.52167666,1.57449007,0.84793961,8.86401081,6.81375647,8.20375729,8.50754929,7.87367487,6.18968868,4.44384098,6.78484583,4.63683271,5.44731474,5.38041496
"1980M02",0.94348192,0.96486396,0.92866051,0.92765689,0.96369284,0.91324127,0.97012502,0.98148042,0.95022959,0.93820405,0.94137132,0.93705070,0.93078578,0.93844235,0.92680687,0.95280403,0.97266215,0.92076963,0.95766389,0.97285390,0.94582486,0.26127785,0.18524264,0.31603780,0.21046071,0.32377657,0.12885152,0.09457959,0.06050779,0.11911784,0.24252908,0.19972438,0.27335671,0.06236774,0.09387702,0.03967500,0.12878503,0.13687161,0.12296113,7.57283974,9.02612305,6.91025305,9.53473186,6.16737366,8.09179497,7.94559479,5.45075178,6.18888664,4.69544363,6.38517952,4.65128946,5.07532310,5.38007116,-0.48877695,-0.66841656,0.72019207,0.42213392,1.80969012,0.36583295,0.52619863,1.70408273,0.80166674,9.02612305,6.91025305,9.53473186,8.09179497,7.94559479,6.18888664,4.69544363,6.38517952,4.65128946,5.07532310,5.38007116
"1980M03",0.94694471,0.96708202,0.93253309,0.92948186,0.95347589,0.91983116,0.97002041,0.97972202,0.95252436,0.94919926,0.96905017,0.94070876,0.93477720,0.95767891,0.92341083,0.95899814,0.96595353,0.94828135,0.95986038,0.96700007,0.95392758,0.25371879,0.17524472,0.31196094,0.22390608,0.34149054,0.13663690,0.09348979,0.06711910,0.11306167,0.24535088,0.19571047,0.28219315,0.06505322,0.09327493,0.04410755,0.11848123,0.12716027,0.11203979,7.52632093,9.10720634,7.08630180,8.17592049,5.86728668,8.40541458,7.95491648,5.49471331,6.31075716,4.60214710,6.83786821,4.56823015,5.18625355,5.53068781,-0.48165005,-0.66978538,0.74218303,0.41692290,1.85490501,0.44059718,0.51472890,1.56950617,0.84234530,9.10720634,7.08630180,8.17592049,8.40541458,7.95491648,6.31075716,4.60214710,6.83786821,4.56823015,5.18625355,5.53068781
"1980M04",0.94436085,0.96901405,0.92750561,0.91795802,0.96404523,0.90026027,0.97031111,0.98109680,0.95103109,0.94707578,0.95739353,0.94327027,0.94034022,0.95964152,0.93088228,0.95431966,0.96864611,0.93323255,0.95651221,0.96524233,0.94956863,0.25429308,0.17783548,0.30890623,0.21751843,0.33848664,0.13111167,0.09682790,0.06329873,0.12077755,0.24295743,0.19569534,0.27671641,0.05969708,0.08659250,0.04048586,0.12870608,0.13809130,0.12200229,7.52377892,9.38549614,6.92170429,8.27242279,6.08588791,8.30939484,7.62273979,5.51990795,6.40842247,4.54166842,6.71654320,4.57308245,5.13582230,5.52247477,-0.48182240,-0.66671431,0.71429306,0.41121429,1.84406686,0.37435639,0.50515193,1.52775371,0.80849022,9.38549614,6.92170429,8.27242279,8.30939484,7.62273979,6.40842247,4.54166842,6.71654320,4.57308245,5.13582230,5.52247477
"1980M05",0.93999356,0.96089882,0.92573297,0.90898770,0.94440609,0.89445126,0.96623439,0.97707140,0.94908285,0.95469648,0.97383463,0.94721389,0.93628561,0.94475889,0.93188941,0.93083364,0.95531428,0.89183897,0.96182871,0.96955150,0.95608789,0.24970481,0.18211320,0.29756385,0.20940605,0.31303138,0.13603289,0.10183240,0.07043192,0.12406589,0.24969776,0.20762531,0.27948767,0.06292509,0.09570425,0.03971541,0.12643389,0.13109396,0.12313428,7.62929630,9.33939362,6.96070766,8.34909248,6.17142582,8.14506340,8.30352402,5.48923016,6.39913750,4.66029167,6.37858438,4.61420298,5.37047148,5.38993120,-0.48176274,-0.65838277,0.70806187,0.43334365,1.62935269,0.40196505,0.52600378,1.70625293,0.75383258,9.33939362,6.96070766,8.34909248,8.14506340,8.30352402,6.39913750,4.66029167,6.37858438,4.61420298,5.37047148,5.38993120
"1980M06",0.93374538,0.95277750,0.92061740,0.91097838,0.94584137,0.89560032,0.95430857,0.96260202,0.94124103,0.94217718,0.95391202,0.93736339,0.92325997,0.93707883,0.91635674,0.94348490,0.95660490,0.92127728,0.95752758,0.96140456,0.95469743,0.25473943,0.19435887,0.29784387,0.20801076,0.30815628,0.13651897,0.10321552,0.07297999,0.12480003,0.24520208,0.19904335,0.27815384,0.06508972,0.09959868,0.04045450,0.12374249,0.12586284,0.12222882,7.70619249,9.23012638,7.20304489,8.12297630,6.38992262,8.31953907,7.82044125,5.50017166,6.40875769,4.64687920,6.18424416,4.62823534,5.55461788,5.55630064,-0.47933295,-0.64698249,0.71387923,0.46584395,1.61139786,0.41745898,0.51084292,1.75756550,0.73510379,9.23012638,7.20304489,8.12297630,8.31953907,7.82044125,6.40875769,4.64687920,6.18424416,4.62823534,5.55461788,5.55630064
"1980M07",0.93254840,0.95597923,0.91644549,0.89566112,0.94130987,0.87734145,0.95623213,0.96815854,0.93753666,0.94088113,0.94289070,0.94004512,0.93209773,0.94628608,0.92450237,0.93444639,0.95349634,0.90249437,0.96576369,0.97357804,0.95957279,0.25244504,0.18196784,0.30297011,0.20059560,0.29695824,0.13151328,0.10316417,0.07274213,0.12497371,0.24931343,0.21135359,0.27652681,0.06345090,0.09714059,0.03929879,0.13103084,0.13983764,0.12471727,7.68762493,9.34984016,7.25735283,7.76420355,6.20999956,8.52162838,7.83470964,5.65180302,6.46089554,4.89233351,6.45629787,4.79783726,5.59078646,5.63233900,-0.46012601,-0.64680755,0.71689945,0.43057922,1.61876571,0.41727811,0.54793692,1.77206564,0.80381423,9.34984016,7.25735283,7.76420355,8.52162838,7.83470964,6.46089554,4.89233351,6.45629787,4.79783726,5.59078646,5.63233900
"1980M08",0.93341315,0.95624369,0.91813856,0.90489370,0.94490373,0.88793278,0.94754201,0.95319080,0.93909639,0.94397628,0.96271044,0.93667048,0.92825562,0.95548743,0.91439569,0.95167494,0.96663266,0.92924178,0.96280354,0.96887290,0.95786089,0.24755059,0.18739974,0.28946421,0.19452266,0.28553417,0.13110510,0.11053331,0.07701518,0.13388902,0.25768167,0.21785446,0.28543362,0.06128518,0.09094374,0.04061885,0.12842657,0.14125271,0.11948921,7.77004433,9.28023338,7.39884424,9.00116920,6.32384920,7.72293043,7.96137476,5.70506430,6.51402044,4.74545860,6.90008783,4.80434942,6.22557020,5.60997057,-0.45721880,-0.63754022,0.69680834,0.45111522,1.51758075,0.40081570,0.53183222,1.56012189,0.82372355,9.28023338,7.39884424,9.00116920,7.72293043,7.96137476,6.51402044,4.74545860,6.90008783,4.80434942,6.22557020,5.60997057
