,x
1,7.446739197
2,7.228213787
3,7.353863716
4,7.30467701
5,7.240216255
6,7.327898026
7,7.320624828
8,7.098385811
9,7.855221272
10,7.454734802
11,7.816510677
12,7.479184151
13,7.87367487
14,7.945594788
15,7.954916477
16,7.622739792
17,8.303524017
18,7.820441246
19,7.834709644
20,7.96137476
21,8.088609695
22,8.211378098
23,8.592080116
24,8.151329994
25,8.543710709
26,8.505308151
27,8.58111763
28,8.483778954
29,8.411370277
30,8.653184891
31,8.545002937
32,8.363135338
33,8.829030037
34,9.027131081
35,8.782138824
36,9.246792793
37,8.979387283
38,9.06098175
39,8.896850586
40,9.575798035
41,9.521429062
42,9.522975922
43,9.04618454
44,9.184885979
45,9.414156914
46,9.714782715
47,9.392157555
48,9.673796654
49,9.830138206
50,9.550351143
51,9.946939468
52,9.531146049
53,9.778123856
54,9.75784874
55,9.134092331
56,9.805029869
57,9.840021133
58,10.01297855
59,9.717391014
60,10.25304508
61,10.47131824
62,10.26589584
63,10.36646938
64,10.0742445
65,10.0862875
66,10.39979553
67,10.44508362
68,10.30842876
69,10.40153122
70,10.5430212
71,10.26807308
72,10.91633987
73,10.5978756
74,10.93178654
75,10.88720131
76,11.09598732
77,10.55147934
78,10.73628998
79,10.8174057
80,10.56343651
81,10.64057732
82,10.89740276
83,10.57748127
84,11.05633354
85,10.85109043
86,11.15658665
87,11.30260944
88,11.00431538
89,11.54486084
90,11.39140892
91,11.50976944
92,11.00487232
93,11.26611519
94,11.25286102
95,11.83505821
96,11.17221069
97,11.43088627
98,11.81791019
99,11.98493385
100,11.16967583
101,11.40022278
102,11.40842438
103,11.54223251
104,11.62751484
105,11.72089863
106,11.59301758
107,11.6548996
108,11.94389248
109,11.67773724
110,11.94499588
111,11.69647121
112,11.65015793
113,11.80704975
114,11.55020905
115,11.85163307
116,11.74509907
117,12.08115196
118,12.18461418
119,12.21537399
120,11.76811504
121,12.39059734
122,13.35481834
123,12.32119179
124,13.31890297
125,12.41518879
126,13.69095421
127,13.05904675
128,12.50969505
129,13.0499382
130,13.59568596
131,13.64678001
132,13.3637104
133,13.40271091
134,14.35481358
135,14.05451012
136,13.15198135
137,13.89579964
138,13.85667419
139,14.24763012
140,14.10105991
141,14.10984421
142,13.9757576
143,14.39423275
144,13.83488274
145,14.16397762
146,14.47426796
147,14.82905483
148,13.86157608
149,14.30959702
150,14.2395401
151,14.32202148
152,13.79661179
153,14.59407711
154,14.42210293
155,14.49303436
156,13.87536526
157,14.85894871
158,14.60497761
159,14.52602577
160,14.73311615
161,15.09715271
162,14.57205963
163,14.37988091
164,13.75092602
165,14.80845547
166,14.26136494
167,14.56591702
168,14.3354702
169,15.59986782
170,15.3978529
171,15.22292614
172,14.94011879
173,15.3535223
174,14.69674492
175,15.1293993
176,14.67897415
177,14.97171497
178,15.54998112
179,15.49060917
180,14.62845993
181,15.2186203
182,15.55489063
183,15.74206352
184,14.90296841
185,15.63498306
186,14.53964424
187,15.23838902
188,14.92377949
189,15.72375679
190,15.14174461
191,15.01329422
192,15.0648613
193,15.56461334
194,15.54963589
195,15.69171524
196,15.85611153
197,15.75621223
198,15.37103844
199,15.59256458
200,15.13333702
201,16.00587463
202,16.15535164
203,16.06028175
204,16.20925522
205,16.0057373
206,16.51358032
207,16.2604351
208,15.95614338
209,16.25701141
210,16.07824516
211,16.33042908
212,15.53746128
213,16.2358284
214,16.01644516
215,16.21043968
216,16.80264282
217,16.77616692
218,16.97246552
219,16.98347855
220,16.50873947
221,16.27388763
222,16.98779297
223,16.25351906
224,16.37048149
225,16.98368645
226,17.02061462
227,17.38880348
228,17.23179436
229,18.16386986
230,18.00060844
231,18.88539124
232,17.99716568
233,16.87137794
234,18.30391121
235,17.99334717
236,17.63061905
237,18.29618645
238,19.00105476
239,18.89598274
240,18.34499359
241,18.57373047
242,18.72050095
243,18.50188446
244,19.39036369
245,18.43983459
246,18.94420052
247,18.53783989
248,18.08493233
249,19.64338493
250,20.71511269
251,19.29941368
252,18.97579956
253,19.31546211
254,19.21290588
255,19.89832878
256,19.27103424
257,20.67474937
258,20.64737129
259,20.31170082
260,20.12409019
261,20.74092102
262,20.31856728
263,20.93386841
264,21.10915375
265,21.28841591
266,19.88903046
267,20.22629166
268,20.71032524
269,20.99986076
270,21.92287636
271,20.54779816
272,21.4609642
273,22.41032982
274,21.09482956
275,21.04491806
276,21.33296776
277,20.97728539
278,21.70589256
279,22.39281464
280,22.53836632
281,21.77394295
282,21.36107254
283,22.43298721
284,22.03358841
285,22.24897575
286,22.0075531
287,22.90407562
288,21.22258568
289,23.35720634
290,22.5821476
291,22.90228844
292,22.8330307
293,22.55413818
294,22.45104599
295,21.92519188
296,21.70027733
297,21.809412
298,22.55356979
