,x
1,7.142866611
2,7.083786964
3,7.379387856
4,7.776075363
5,7.881931782
6,7.562467575
7,7.709569454
8,7.517103672
9,7.779752731
10,8.210621834
11,7.950517178
12,8.159064293
13,8.507549286
14,8.091794968
15,8.405414581
16,8.309394836
17,8.1450634
18,8.31953907
19,8.52162838
20,7.722930431
21,8.361046791
22,8.627277374
23,9.116724968
24,8.778208733
25,8.674107552
26,11.2481842
27,8.906064034
28,9.390004158
29,8.77293396
30,9.17165184
31,8.869165421
32,8.841860771
33,9.350227356
34,9.248931885
35,9.947684288
36,9.087744713
37,9.265551567
38,9.548716545
39,9.547815323
40,9.839481354
41,9.596542358
42,10.03848076
43,9.787560463
44,9.489920616
45,9.835582733
46,10.19868565
47,10.21548462
48,9.979804993
49,9.355939865
50,9.908555984
51,9.363591194
52,9.391149521
53,9.442503929
54,11.05486298
55,10.18916512
56,8.979771614
57,10.08323288
58,9.925927162
59,9.770422935
60,9.693183899
61,9.818528175
62,9.659724236
63,9.829345703
64,10.18248844
65,9.790843964
66,10.01749229
67,9.711651802
68,9.521217346
69,9.935546875
70,10.11795616
71,10.20869446
72,10.26462078
73,9.948262215
74,9.985588074
75,10.22161198
76,10.20279503
77,10.17965126
78,9.640913963
79,10.43933392
80,10.39098167
81,11.01201439
82,10.51710701
83,10.63198662
84,10.77591801
85,10.94463634
86,10.80254841
87,10.39539814
88,10.94770336
89,11.40549755
90,11.32168293
91,10.79936409
92,11.01006508
93,10.81161976
94,10.89222336
95,11.16653347
96,10.86968708
97,11.1169548
98,11.37588406
99,10.96053886
100,11.34889507
101,11.9842062
102,11.61404514
103,11.58907604
104,10.98363686
105,11.72781086
106,11.59533119
107,11.64345264
108,11.35939217
109,11.28069115
110,12.4960041
111,11.94807434
112,10.93620682
113,11.64746094
114,11.93233681
115,11.89523888
116,11.43376637
117,12.05168247
118,12.12531853
119,12.57888412
120,11.62486744
121,12.22252941
122,12.2727766
123,13.03709221
124,12.83372021
125,12.82853413
126,13.4245224
127,12.67967987
128,13.64591026
129,13.13473988
130,13.28085995
131,12.52489376
132,12.95450783
133,13.06412315
134,13.14043999
135,14.8824091
136,14.77776909
137,14.08108139
138,13.89999676
139,12.89708996
140,13.75712395
141,13.26716423
142,13.92136574
143,14.37991619
144,14.04099178
145,13.98412895
146,14.30784321
147,14.08917713
148,14.27396011
149,14.05028152
150,14.76250648
151,14.39105797
152,14.33451653
153,14.50229645
154,14.41482258
155,14.53291893
156,14.19904709
157,14.96728611
158,16.18574905
159,14.55919647
160,15.02607918
161,14.35389423
162,15.23141003
163,15.81695652
164,14.21848011
165,15.48047352
166,15.49014664
167,14.99786854
168,14.83444786
169,14.8081274
170,14.80022717
171,14.87105179
172,15.30695343
173,14.25147533
174,15.28778839
175,14.97629929
176,15.4241457
177,15.5630312
178,15.0985384
179,15.47913742
180,14.98078251
181,15.58127403
182,14.91049385
183,15.27443504
184,15.2888546
185,15.63779831
186,15.35130882
187,14.8721962
188,14.68758011
189,15.22272396
190,15.70721817
191,15.24523926
192,15.69483185
193,15.28707695
194,15.44106674
195,15.3972826
196,15.43127632
197,15.88525486
198,15.84269905
199,15.397439
200,15.852211
201,15.95855045
202,16.12507057
203,15.56279182
204,16.23868752
205,16.39913368
206,15.97442532
207,15.82856369
208,16.68734932
209,16.11269569
210,15.80002213
211,15.0907917
212,15.9281044
213,16.82995796
214,16.33912849
215,16.70028687
216,17.14898109
217,16.46845818
218,17.24809265
219,16.81803894
220,17.08328438
221,19.01938057
222,16.40944099
223,16.923769
224,17.74040222
225,17.37803841
226,16.92568207
227,18.53526115
228,17.77158356
229,18.24964333
230,18.13839531
231,18.69919968
232,18.83723068
233,19.3045826
234,18.0788765
235,17.93326759
236,17.73498535
237,19.13295937
238,20.29936981
239,19.82580757
240,19.57732582
241,19.28046799
242,20.00445175
243,19.34426689
244,19.715765
245,19.58214951
246,19.89982224
247,19.98048973
248,19.42692566
249,20.34896088
250,19.5070076
251,20.07536316
252,20.71090508
253,21.3014164
254,21.56194687
255,20.56875038
256,20.31233215
257,21.64972496
258,21.14650726
259,20.86805153
260,21.1660099
261,21.8860836
262,21.29134178
263,21.00798988
264,22.35764313
265,22.41997337
266,22.32686234
267,22.11805916
268,21.02025032
269,21.08672523
270,22.21219063
271,22.94532013
272,22.17369652
273,24.18552971
274,22.15922737
275,23.01270485
276,24.45711136
277,24.15699005
278,24.52592468
279,22.986763
280,22.1216259
281,22.22951317
282,23.14986038
283,23.36058235
284,22.56492233
285,22.52423859
286,23.62625313
287,23.41114616
288,23.14269447
289,22.69612122
290,24.00247192
291,23.08377457
292,23.73550987
293,22.46395874
294,24.23383904
295,23.09401131
296,23.27704811
297,22.38267899
298,23.15399551
299,23.33203697
300,22.82014275
301,23.42018509
302,23.74533653
303,22.81282043
304,24.23683929
305,24.25614357
306,23.63467407
307,25.15541458
308,24.31203842
309,23.65285873
310,24.56651497
311,23.25400352
312,24.54932785
313,23.68671608
314,24.9851265
315,24.44919968
316,23.25066757
317,24.69547081
318,25.88573647
319,25.40372276
320,23.35873604
321,24.58037949
322,24.33713722
323,24.79257774
324,24.44945335
325,24.51556969
326,26.2714653
327,24.88696098
328,24.97696877
329,24.74842644
330,25.48309135
331,25.60224724
332,24.634161
333,25.53413391
334,25.84261894
335,24.74815559
336,25.77502823
337,25.04488945
338,25.36447144
339,26.09521675
340,26.83460426
341,25.74897194
342,26.02245522
343,26.19394302
344,28.43288231
345,26.42958069
346,26.24892044
347,26.00205421
348,25.99542427
349,26.55461884
350,27.38995743
351,26.38557816
352,26.50417709
353,26.49726295
354,27.43581772
355,26.92300987
356,27.65009689
357,27.60240364
358,27.81831169
359,27.34070986
360,27.8674202
361,27.66773605
362,27.92525482
363,27.69212532
364,27.68032455
365,26.93850708
366,27.76996803
367,27.72443008
368,27.26851273
369,28.29472733
370,27.90175819
371,27.45830154
372,29.1563797
373,27.95148277
374,28.14299583
375,28.42756653
376,28.66344833
377,27.6065712
378,28.825737
379,28.04751968
380,29.35040855
381,28.96129036
382,28.72391319
383,27.32166481
384,28.03255844
385,27.54024506
386,28.22072411
387,27.6721859
388,27.99485016
389,28.26843262
390,26.90135765
391,27.9417572
392,29.0603466
393,28.70885277
394,27.44556618
395,27.8882103
396,30.12127495
397,29.63692856
398,27.60656929
