,x
1,5.978811741
2,5.82247448
3,6.306193829
4,6.145564556
5,5.681610107
6,5.728111744
7,6.274013996
8,6.156455517
9,6.235924244
10,6.128967285
11,6.358599663
12,6.498826504
13,6.784845829
14,6.38517952
15,6.837868214
16,6.716543198
17,6.378584385
18,6.184244156
19,6.456297874
20,6.900087833
21,6.905423164
22,6.601216793
23,6.777358055
24,6.968337059
25,7.298792839
26,6.938999653
27,7.645293236
28,7.082318306
29,6.908713341
30,7.104911327
31,6.753939152
32,7.22155714
33,7.461323738
34,7.399954319
35,7.372855186
36,7.684402466
37,7.548837662
38,7.828212738
39,7.944862366
40,7.522449017
41,7.293106556
42,7.192523479
43,7.295448303
44,7.291073322
45,7.39084053
46,7.07204771
47,7.588285923
48,7.754189968
49,7.921077251
50,7.980309963
51,8.00009346
52,7.860071659
53,7.690433025
54,7.433819771
55,7.785905838
56,7.773826122
57,8.334601402
58,8.056255341
59,8.382002831
60,8.399990082
61,8.194906235
62,7.924912453
63,8.268860817
64,7.936424732
65,7.85584116
66,7.655264854
67,7.84589386
68,8.128868103
69,8.168118477
70,8.256596565
71,8.516046524
72,8.029212952
73,8.645999908
74,8.343684196
75,8.311396599
76,8.481748581
77,8.295441628
78,8.222736359
79,8.070401192
80,7.979773521
81,8.466414452
82,8.69863987
83,8.490162849
84,8.648427963
85,8.82062912
86,9.061899185
87,8.65927124
88,8.777124405
89,8.623279572
90,8.261798859
91,8.844784737
92,8.052595139
93,8.685092926
94,8.856438637
95,8.596525192
96,8.563343048
97,8.626086235
98,8.731329918
99,8.791879654
100,8.855435371
101,8.207537651
102,8.426688194
103,8.426455498
104,8.380032539
105,9.272108078
106,8.414535522
107,8.767907143
108,8.710699081
109,8.66056633
110,8.94170475
111,9.261414528
112,8.728553772
113,8.929841042
114,8.772849083
115,8.841751099
116,8.596107483
117,8.62844944
118,9.088580132
119,8.794885635
120,8.917526245
121,9.691541672
122,9.608178139
123,9.097697258
124,9.853783607
125,8.948616982
126,9.164865494
127,9.534718513
128,9.247255325
129,9.318693161
130,9.718679428
131,9.273548126
132,9.575439453
133,9.901782036
134,9.793029785
135,9.588828087
136,10.60223866
137,9.553401947
138,9.057435036
