,x
350,13.53631878
351,12.20964622
352,12.95281219
353,13.22637081
354,13.25938034
355,13.15261108
356,13.44564056
357,13.11040688
358,12.87446213
359,13.26807117
360,13.40274811
361,13.16968918
362,12.78338718
363,13.16195107
364,13.34642124
365,13.5822506
366,13.90844822
367,14.30671597
368,14.14856243
369,13.36439896
370,13.47014904
371,14.00739002
372,13.86798954
373,13.43353367
374,13.77985287
375,14.83887863
376,14.61966705
377,13.27340603
378,13.56869316
379,13.37819386
380,13.56116867
381,13.7669096
382,13.42569065
383,13.96050644
384,13.73333359
385,13.78637695
386,13.77805996
387,13.56748581
388,14.08602428
389,13.90288734
390,13.87351608
391,14.26622581
392,14.0109024
393,14.37807274
394,14.51289463
395,14.10243416
396,13.83044624
397,14.16349792
398,13.90650368
399,13.62412834
400,14.53696823
401,13.86270237
402,14.03452206
403,14.42165089
404,14.84034157
405,13.98929501
406,13.93799305
407,14.34900665
408,14.27757549
409,14.27166271
410,13.96219444
411,13.87529755
412,14.05585861
413,14.87473869
414,13.97102547
415,14.54292011
416,13.76207542
417,14.0016222
418,14.28721619
419,14.10465717
420,13.63665962
421,13.72528076
422,13.90146351
423,13.91687584
424,14.60042572
425,14.97316265
426,14.5648222
427,14.97711849
428,14.86532402
429,14.4004612
430,14.15232182
431,14.56695938
432,14.82058716
433,15.02602005
434,14.20753574
435,15.11812019
436,14.11360931
437,14.96938419
438,15.14484024
439,15.22912407
440,14.70409679
441,14.41215515
442,15.08555889
443,14.53252316
444,15.14697647
445,14.9800663
446,14.76400566
447,14.56921196
448,15.3574934
449,15.56179428
450,15.56643295
451,15.3799324
452,14.8936739
453,14.6916666
454,15.28738213
455,15.10461903
456,15.22083569
